level,user,password,team,province,date
10,TEST-EmelyRodgers,TEST-TEST-EmelyRodgers,TEST-Sarnia Sting,MB,2022-02-06
7,TEST-BryceSwift,TEST-TEST-BryceSwift,TEST-Oshawa Generals,AB,2022-01-11
6,TEST-KamilaWeldon,TEST-TEST-KamilaWeldon,TEST-Mississauga Steelheads,MB,2022-01-31
4,TEST-PeytonGoldsmith,TEST-TEST-PeytonGoldsmith,TEST-Guelph Storm,NU,2022-02-06
3,TEST-KateJacobs,TEST-TEST-KateJacobs,TEST-Guelph Storm,NU,2022-02-14
6,TEST-IslaTennant,TEST-TEST-IslaTennant,TEST-Oshawa Generals,AB,2022-01-24
4,TEST-JackRyan,TEST-TEST-JackRyan,TEST-Windsor Spitfires,AB,2022-01-15
7,TEST-CalebClarke,TEST-TEST-CalebClarke,TEST-London Knights,NL,2022-02-26
2,TEST-WadeStewart,TEST-TEST-WadeStewart,TEST-Owen Sound Attack,NS,2022-03-01
3,TEST-KayleeBailey,TEST-TEST-KayleeBailey,TEST-Barrie Colts,ON,2022-01-17
3,TEST-MichaelaTodd,TEST-TEST-MichaelaTodd,TEST-Barrie Colts,ON,2022-02-09
2,TEST-MarvinDempsey,TEST-TEST-MarvinDempsey,TEST-Kitchener Rangers,NS,2022-01-26
8,TEST-DanielPrice,TEST-TEST-DanielPrice,TEST-Peterborough Petes,YT,2022-02-10
3,TEST-KurtStevens,TEST-TEST-KurtStevens,TEST-Kitchener Rangers,NS,2022-02-27
9,TEST-GwenDrummond,TEST-TEST-GwenDrummond,TEST-Peterborough Petes,YT,2022-01-03
5,TEST-HarmonyMoore,TEST-TEST-HarmonyMoore,TEST-Kingston Frontenacs,PE,2022-01-07
6,TEST-SabrinaUlyatt,TEST-TEST-SabrinaUlyatt,TEST-Ottawa 67's,BC,2022-01-02
1,TEST-CarterWilcox,TEST-TEST-CarterWilcox,TEST-Oshawa Generals,AB,2022-01-22
2,TEST-PhillipWillson,TEST-TEST-PhillipWillson,TEST-Ottawa 67's,BC,2022-02-22
10,TEST-RickMorris,TEST-TEST-RickMorris,TEST-North Bay Battalion,NT,2022-02-16
2,TEST-OwenUddin,TEST-TEST-OwenUddin,TEST-Kitchener Rangers,NS,2022-02-26
6,TEST-ParkerWooldridge,TEST-TEST-ParkerWooldridge,TEST-Mississauga Steelheads,MB,2022-01-07
2,TEST-CarolynNicolas,TEST-TEST-CarolynNicolas,TEST-Sudbury Wolves,NB,2022-02-14
7,TEST-EnochBaldwin,TEST-TEST-EnochBaldwin,TEST-Sarnia Sting,MB,2022-02-22
7,TEST-DomenicGriffiths,TEST-TEST-DomenicGriffiths,TEST-Windsor Spitfires,AB,2022-02-09
4,TEST-DannyAllen,TEST-TEST-DannyAllen,TEST-Sarnia Sting,MB,2022-02-11
3,TEST-HaydenWood,TEST-TEST-HaydenWood,TEST-Mississauga Steelheads,MB,2022-02-28
9,TEST-AleksandraAdams,TEST-TEST-AleksandraAdams,TEST-North Bay Battalion,NT,2022-02-14
7,TEST-JaydenSpencer,TEST-TEST-JaydenSpencer,TEST-Guelph Storm,NU,2022-02-16
2,TEST-CarlMorgan,TEST-TEST-CarlMorgan,TEST-London Knights,NL,2022-01-06
1,TEST-VioletRoberts,TEST-TEST-VioletRoberts,TEST-Niagara IceDogs,QC,2022-03-03
4,TEST-MattFoxley,TEST-TEST-MattFoxley,TEST-Kingston Frontenacs,PE,2022-01-16
5,TEST-ChristyUddin,TEST-TEST-ChristyUddin,TEST-Kitchener Rangers,NS,2022-01-08
9,TEST-PercyMorley,TEST-TEST-PercyMorley,TEST-Sarnia Sting,MB,2022-02-14
3,TEST-AlanWeston,TEST-TEST-AlanWeston,TEST-Ottawa 67's,BC,2022-02-27
8,TEST-NoahDenton,TEST-TEST-NoahDenton,TEST-Barrie Colts,ON,2022-02-10
4,TEST-JavierClark,TEST-TEST-JavierClark,TEST-Sudbury Wolves,NB,2022-02-12
3,TEST-JosephNurton,TEST-TEST-JosephNurton,TEST-Peterborough Petes,YT,2022-02-17
4,TEST-ChesterAndrews,TEST-TEST-ChesterAndrews,TEST-Oshawa Generals,AB,2022-01-14
3,TEST-ClintOlivier,TEST-TEST-ClintOlivier,TEST-Sarnia Sting,MB,2022-01-15
6,TEST-TonyJudd,TEST-TEST-TonyJudd,TEST-Barrie Colts,ON,2022-02-28
5,TEST-DomenicGray,TEST-TEST-DomenicGray,TEST-Barrie Colts,ON,2022-02-16
6,TEST-MartinCann,TEST-TEST-MartinCann,TEST-Kingston Frontenacs,PE,2022-02-25
1,TEST-HelenRobe,TEST-TEST-HelenRobe,TEST-Niagara IceDogs,QC,2022-02-03
9,TEST-RonaldNobbs,TEST-TEST-RonaldNobbs,TEST-Kingston Frontenacs,PE,2022-01-15
3,TEST-AbbeyReyes,TEST-TEST-AbbeyReyes,TEST-Kitchener Rangers,NS,2022-02-25
5,TEST-JennaNewton,TEST-TEST-JennaNewton,TEST-Niagara IceDogs,QC,2022-01-23
3,TEST-LeroyEddison,TEST-TEST-LeroyEddison,TEST-London Knights,NL,2022-01-20
2,TEST-BradWright,TEST-TEST-BradWright,TEST-Mississauga Steelheads,MB,2022-01-17
6,TEST-MarvinCurtis,TEST-TEST-MarvinCurtis,TEST-North Bay Battalion,NT,2022-01-29
5,TEST-FrancescaCraig,TEST-TEST-FrancescaCraig,TEST-Barrie Colts,ON,2022-02-08
10,TEST-JackGrady,TEST-TEST-JackGrady,TEST-Windsor Spitfires,AB,2022-02-18
10,TEST-BradCollins,TEST-TEST-BradCollins,TEST-Kingston Frontenacs,PE,2022-02-22
7,TEST-MartinRigg,TEST-TEST-MartinRigg,TEST-Sudbury Wolves,NB,2022-01-24
10,TEST-HankNobbs,TEST-TEST-HankNobbs,TEST-Kingston Frontenacs,PE,2022-02-14
3,TEST-MikeMoss,TEST-TEST-MikeMoss,TEST-Sudbury Wolves,NB,2022-01-24
10,TEST-LorraineGreenwood,TEST-TEST-LorraineGreenwood,TEST-Kingston Frontenacs,PE,2022-03-02
10,TEST-SadieLee,TEST-TEST-SadieLee,TEST-Oshawa Generals,AB,2022-01-31
3,TEST-HaydenMurray,TEST-TEST-HaydenMurray,TEST-Windsor Spitfires,AB,2022-01-25
3,TEST-EthanRixon,TEST-TEST-EthanRixon,TEST-Guelph Storm,NU,2022-02-11
4,TEST-CarissaRandall,TEST-TEST-CarissaRandall,TEST-Hamilton Bulldogs,BC,2022-02-15
6,TEST-HopeHolmes,TEST-TEST-HopeHolmes,TEST-Guelph Storm,NU,2022-02-01
1,TEST-MarkPoole,TEST-TEST-MarkPoole,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-01
2,TEST-CaitlynCrawley,TEST-TEST-CaitlynCrawley,TEST-Hamilton Bulldogs,BC,2022-02-06
4,TEST-HarryAdler,TEST-TEST-HarryAdler,TEST-North Bay Battalion,NT,2022-02-17
9,TEST-KarlaTailor,TEST-TEST-KarlaTailor,TEST-Kitchener Rangers,NS,2022-01-06
4,TEST-OwenNayler,TEST-TEST-OwenNayler,TEST-Mississauga Steelheads,MB,2022-01-21
4,TEST-CedrickWilson,TEST-TEST-CedrickWilson,TEST-Kingston Frontenacs,PE,2022-03-02
3,TEST-RonPalmer,TEST-TEST-RonPalmer,TEST-Niagara IceDogs,QC,2022-01-24
3,TEST-JulianKelly,TEST-TEST-JulianKelly,TEST-Owen Sound Attack,NS,2022-01-11
10,TEST-DougLindop,TEST-TEST-DougLindop,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-23
2,TEST-CatherineMorgan,TEST-TEST-CatherineMorgan,TEST-Sarnia Sting,MB,2022-02-10
10,TEST-ChrisDriscoll,TEST-TEST-ChrisDriscoll,TEST-London Knights,NL,2022-01-05
2,TEST-LucyConnor,TEST-TEST-LucyConnor,TEST-Barrie Colts,ON,2022-01-12
5,TEST-ValentinaWheeler,TEST-TEST-ValentinaWheeler,TEST-Oshawa Generals,AB,2022-01-07
8,TEST-ErickGardner,TEST-TEST-ErickGardner,TEST-Peterborough Petes,YT,2022-01-17
3,TEST-RuthGordon,TEST-TEST-RuthGordon,TEST-Oshawa Generals,AB,2022-01-31
1,TEST-MargotLane,TEST-TEST-MargotLane,TEST-Sudbury Wolves,NB,2022-02-11
8,TEST-JackMorley,TEST-TEST-JackMorley,TEST-Hamilton Bulldogs,BC,2022-01-04
6,TEST-CallieBloom,TEST-TEST-CallieBloom,TEST-North Bay Battalion,NT,2022-02-21
5,TEST-SabrinaStark,TEST-TEST-SabrinaStark,TEST-Windsor Spitfires,AB,2022-02-16
6,TEST-BenjaminRadcliffe,TEST-TEST-BenjaminRadcliffe,TEST-Peterborough Petes,YT,2022-01-26
6,TEST-RaquelJarvis,TEST-TEST-RaquelJarvis,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-02
3,TEST-MattPlumb,TEST-TEST-MattPlumb,TEST-Oshawa Generals,AB,2022-01-29
7,TEST-ClintIanson,TEST-TEST-ClintIanson,TEST-Mississauga Steelheads,MB,2022-02-26
3,TEST-LeahWatson,TEST-TEST-LeahWatson,TEST-Peterborough Petes,YT,2022-02-19
8,TEST-GemmaSimpson,TEST-TEST-GemmaSimpson,TEST-Guelph Storm,NU,2022-02-24
2,TEST-LaurenSamuel,TEST-TEST-LaurenSamuel,TEST-Kingston Frontenacs,PE,2022-01-31
7,TEST-HopeAshwell,TEST-TEST-HopeAshwell,TEST-North Bay Battalion,NT,2022-02-17
9,TEST-AnthonyUddin,TEST-TEST-AnthonyUddin,TEST-Guelph Storm,NU,2022-02-18
3,TEST-CedrickMorris,TEST-TEST-CedrickMorris,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-15
8,TEST-GoldieRixon,TEST-TEST-GoldieRixon,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-12
1,TEST-MiriamShaw,TEST-TEST-MiriamShaw,TEST-Kitchener Rangers,NS,2022-01-25
5,TEST-BeatriceBarclay,TEST-TEST-BeatriceBarclay,TEST-Niagara IceDogs,QC,2022-02-21
2,TEST-DavidStewart,TEST-TEST-DavidStewart,TEST-Kitchener Rangers,NS,2022-01-26
6,TEST-MatthewAddison,TEST-TEST-MatthewAddison,TEST-North Bay Battalion,NT,2022-01-13
3,TEST-ReginaThompson,TEST-TEST-ReginaThompson,TEST-Mississauga Steelheads,MB,2022-02-07
2,TEST-DanielWright,TEST-TEST-DanielWright,TEST-Kitchener Rangers,NS,2022-02-18
4,TEST-FelicityEddison,TEST-TEST-FelicityEddison,TEST-Kingston Frontenacs,PE,2022-02-08
7,TEST-NathanHunter,TEST-TEST-NathanHunter,TEST-Kitchener Rangers,NS,2022-01-24
9,TEST-ShelbyWhitehouse,TEST-TEST-ShelbyWhitehouse,TEST-Niagara IceDogs,QC,2022-02-04
8,TEST-MasonMorris,TEST-TEST-MasonMorris,TEST-North Bay Battalion,NT,2022-02-01
5,TEST-ClaireDempsey,TEST-TEST-ClaireDempsey,TEST-Oshawa Generals,AB,2022-01-06
2,TEST-KirstenBurnley,TEST-TEST-KirstenBurnley,TEST-Peterborough Petes,YT,2022-02-21
3,TEST-LeroyGriffiths,TEST-TEST-LeroyGriffiths,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-23
2,TEST-ClintIsaac,TEST-TEST-ClintIsaac,TEST-Mississauga Steelheads,MB,2022-01-24
10,TEST-WadeCorbett,TEST-TEST-WadeCorbett,TEST-Peterborough Petes,YT,2022-02-25
9,TEST-JuliusWild,TEST-TEST-JuliusWild,TEST-Hamilton Bulldogs,BC,2022-01-19
8,TEST-JacquelineJarvis,TEST-TEST-JacquelineJarvis,TEST-Sarnia Sting,MB,2022-02-23
1,TEST-EduardoWalter,TEST-TEST-EduardoWalter,TEST-Oshawa Generals,AB,2022-02-12
4,TEST-MargaretDarcy,TEST-TEST-MargaretDarcy,TEST-Hamilton Bulldogs,BC,2022-02-06
6,TEST-BenjaminUddin,TEST-TEST-BenjaminUddin,TEST-Barrie Colts,ON,2022-01-04
1,TEST-MattOsman,TEST-TEST-MattOsman,TEST-Oshawa Generals,AB,2022-02-16
4,TEST-TylerHunter,TEST-TEST-TylerHunter,TEST-Hamilton Bulldogs,BC,2022-01-20
1,TEST-MelodyWoods,TEST-TEST-MelodyWoods,TEST-Oshawa Generals,AB,2022-02-24
9,TEST-BobWright,TEST-TEST-BobWright,TEST-Hamilton Bulldogs,BC,2022-02-11
8,TEST-RosieSanchez,TEST-TEST-RosieSanchez,TEST-Kingston Frontenacs,PE,2022-01-13
1,TEST-MadisonDubois,TEST-TEST-MadisonDubois,TEST-Niagara IceDogs,QC,2022-02-21
4,TEST-MaribelBright,TEST-TEST-MaribelBright,TEST-Barrie Colts,ON,2022-02-27
2,TEST-TaniaLambert,TEST-TEST-TaniaLambert,TEST-Sarnia Sting,MB,2022-01-12
10,TEST-CiaraThomson,TEST-TEST-CiaraThomson,TEST-Niagara IceDogs,QC,2022-02-04
8,TEST-ChloeRowe,TEST-TEST-ChloeRowe,TEST-Sarnia Sting,MB,2022-01-31
4,TEST-AngeliqueDevonport,TEST-TEST-AngeliqueDevonport,TEST-Ottawa 67's,BC,2022-01-23
3,TEST-ClarissaGilmour,TEST-TEST-ClarissaGilmour,TEST-Windsor Spitfires,AB,2022-02-13
9,TEST-RyleeFox,TEST-TEST-RyleeFox,TEST-Kitchener Rangers,NS,2022-01-31
3,TEST-MeredithEagle,TEST-TEST-MeredithEagle,TEST-Sarnia Sting,MB,2022-02-24
1,TEST-NathanMccormick,TEST-TEST-NathanMccormick,TEST-Hamilton Bulldogs,BC,2022-01-03
1,TEST-HarveyParker,TEST-TEST-HarveyParker,TEST-Oshawa Generals,AB,2022-02-14
5,TEST-NateQuinton,TEST-TEST-NateQuinton,TEST-Sudbury Wolves,NB,2022-02-01
7,TEST-JohnathanWild,TEST-TEST-JohnathanWild,TEST-Mississauga Steelheads,MB,2022-01-06
8,TEST-DanielJacobs,TEST-TEST-DanielJacobs,TEST-London Knights,NL,2022-02-10
4,TEST-RusselPowell,TEST-TEST-RusselPowell,TEST-Peterborough Petes,YT,2022-01-28
9,TEST-BryonWarner,TEST-TEST-BryonWarner,TEST-Hamilton Bulldogs,BC,2022-02-04
4,TEST-TessCalderwood,TEST-TEST-TessCalderwood,TEST-Hamilton Bulldogs,BC,2022-02-21
6,TEST-ManuelAtkinson,TEST-TEST-ManuelAtkinson,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-13
9,TEST-MeredithAttwood,TEST-TEST-MeredithAttwood,TEST-Kitchener Rangers,NS,2022-02-12
2,TEST-CarlNorman,TEST-TEST-CarlNorman,TEST-London Knights,NL,2022-03-03
1,TEST-HankWilson,TEST-TEST-HankWilson,TEST-Sault Ste. Marie Greyhounds,SK,2022-01-08
7,TEST-BryonNash,TEST-TEST-BryonNash,TEST-Ottawa 67's,BC,2022-03-01
2,TEST-DennyDempsey,TEST-TEST-DennyDempsey,TEST-Kitchener Rangers,NS,2022-01-28
8,TEST-GilThompson,TEST-TEST-GilThompson,TEST-Oshawa Generals,AB,2022-01-16
4,TEST-BritneyGoldsmith,TEST-TEST-BritneyGoldsmith,TEST-Guelph Storm,NU,2022-02-22
4,TEST-JaydenWooldridge,TEST-TEST-JaydenWooldridge,TEST-North Bay Battalion,NT,2022-02-24
10,TEST-OwenBaker,TEST-TEST-OwenBaker,TEST-London Knights,NL,2022-01-05
3,TEST-NicholasUttley,TEST-TEST-NicholasUttley,TEST-Kingston Frontenacs,PE,2022-01-04
8,TEST-HannahStone,TEST-TEST-HannahStone,TEST-Peterborough Petes,YT,2022-02-28
3,TEST-DougLucas,TEST-TEST-DougLucas,TEST-Oshawa Generals,AB,2022-02-08
4,TEST-JaydenFreeburn,TEST-TEST-JaydenFreeburn,TEST-North Bay Battalion,NT,2022-02-20
5,TEST-JohnnySkinner,TEST-TEST-JohnnySkinner,TEST-Sudbury Wolves,NB,2022-02-13
10,TEST-MarkCameron,TEST-TEST-MarkCameron,TEST-Mississauga Steelheads,MB,2022-01-25
8,TEST-SkylarHorton,TEST-TEST-SkylarHorton,TEST-Owen Sound Attack,NS,2022-01-06
10,TEST-MarieStone,TEST-TEST-MarieStone,TEST-Sarnia Sting,MB,2022-01-16
4,TEST-BradVangness,TEST-TEST-BradVangness,TEST-Kitchener Rangers,NS,2022-02-04
2,TEST-GeorgeNorburn,TEST-TEST-GeorgeNorburn,TEST-North Bay Battalion,NT,2022-02-05
6,TEST-AnneAllcott,TEST-TEST-AnneAllcott,TEST-Owen Sound Attack,NS,2022-01-14
1,TEST-HarveyUpton,TEST-TEST-HarveyUpton,TEST-Niagara IceDogs,QC,2022-03-03
7,TEST-DanielSpencer,TEST-TEST-DanielSpencer,TEST-Oshawa Generals,AB,2022-01-20
8,TEST-ZaraMarshall,TEST-TEST-ZaraMarshall,TEST-Kingston Frontenacs,PE,2022-01-09
2,TEST-IvyMalone,TEST-TEST-IvyMalone,TEST-Sarnia Sting,MB,2022-01-20
6,TEST-RoccoBright,TEST-TEST-RoccoBright,TEST-Sudbury Wolves,NB,2022-01-29
7,TEST-AbbeyEddison,TEST-TEST-AbbeyEddison,TEST-Ottawa 67's,BC,2022-02-01
2,TEST-LukeParker,TEST-TEST-LukeParker,TEST-Hamilton Bulldogs,BC,2022-02-04
3,TEST-DarleneCrawley,TEST-TEST-DarleneCrawley,TEST-Guelph Storm,NU,2022-01-03
10,TEST-AnaisWild,TEST-TEST-AnaisWild,TEST-Kingston Frontenacs,PE,2022-02-28
3,TEST-AlexanderDevonport,TEST-TEST-AlexanderDevonport,TEST-Ottawa 67's,BC,2022-02-10
7,TEST-GabrielSaunders,TEST-TEST-GabrielSaunders,TEST-Oshawa Generals,AB,2022-02-12
1,TEST-HarveyHall,TEST-TEST-HarveyHall,TEST-Sault Ste. Marie Greyhounds,SK,2022-02-14
